Category,Question,"Question Image","Explanation Image",Explanation,"Option 1","Option 2","Option 3","Option 4",Answer
"Inside/Out Cable","If a fault is found in the Inside/Out cable during testing, what action should be taken?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Inside_Out_Cable_1.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,"If a fault is found in the Inside/Out cable that prevents a valid connection at any point, replace the cable and repeat the installation procedure.","Attempt to repair the cable.","Proceed with the installation anyway.","Replace the cable and repeat the installation procedure.","Call your manager.",2
"Knockouts and Grommets","What does the CSP Demarcation Box use for cable retention/sealing?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Strain_Relief.jpg,"The CSP Demarcation box comes packaged with grommets and cable retention brackets as standard, so no additional glue or sealant is required to weatherproof the box. Check the box lid for circular grommets which can be used for rear cable entry points. Newer production may also include grommets pre-installed in the rear of the box.","Gel Sealant supplied separately.","DexTidy cable retention system.","Rubber grommets and cable retention brackets.","Specially designed sealant/retention tape.",2
"Knockouts and Grommets","What method is used to split the grommets?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Strain_Relief.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Split_Grommet.jpg,"The CSP Demarcation box grommets are conveniently prepared in advance, so no tools are required to pierce or prepare the grommets. Simply grab the grommet firmly between two hands and split the plastic membrane.","Use a flathead screwdriver to pierce the grommets.","A specialised cutting tool is required.","Any sharp blade can be used.","They can be easily split apart with your hands.",3
"Knockouts and Grommets","What tool is used to remove the copper provisioning knockout at the back of the CSP?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Copper_Provisioning_Close.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Knockout.jpg,"A thumb can be used to push through the copper provisioning knockout and the fibre optic rear entry port.","A Flathead screwdriver.","No tool is necessary, push through the knockout with a thumb.","A Philips screwdriver.","A box cutter knife.",1
"Knockouts and Grommets","What knockouts are available at the rear of the CSP?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Back_Blank.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Back_labeled.jpg,"There are three knockouts available at the rear of the CSP, these are the copper provisioning knockout, the rear entry knockout and the mount for the 101A capping.","Copper provisioning and rear entry.","Copper provisioning only.","Copper provisioning knockout, rear entry knockout, 101A mounting knockout.",,2
"Happy/Unhappy Guides","If any of your tools are damaged or not in working order, what should you do?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Screwdriver.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Screwdriver_Broken.jpg,"Only the specified tools in full working order should be used to complete the installation of the CSP.","Attempt the installation until you cannot proceed any further.","Attempt to use alternative tools to get the installation finished.","Skip the steps where the specific tool is needed.","Replace your tools before proceeding with the installation.",3
"Happy/Unhappy Guides","Which piece of equipment should be used to ensure the CSP is securely mounted to the wall.",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Wall_Plugs.jpg,"Wall plugs should be used when securing the CSP to a wall to prevent damage to the CSP and the wall. Suitable wall plugs are provided with the CSP.",Glue.,"Wall plugs and screws.","Hammer and nails.","No extra precaution is necessary.",1
"Happy/Unhappy Guides","After the installation is finished, if the customer does NOT have a valid connection what should you do?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Red_PON.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/VFL.jpg,"If there is not a valid connection, check the newly installed cables. If the problem persists, we recommend that you follow the approved faulting process.","Remove the CSP and attempt a new install.","Check the installation to ensure there is no breakage in the cables or splice.","Tell the customer and leave.","Do nothing.",1
"Happy/Unhappy Guides","What should you do if your CSP is damaged before the installation?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/H_U_CSP_Broken.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/H_U_Kit.jpg,"If the CSP is damaged before install, replace with a new unit and dispose of the damaged CSP in the plastic waste bin.","Attempt to repair the CSP.","Proceed with the installation anyway.","Replace the CSP and return it to stores.",,2
"Happy/Unhappy Guides","What do you need to check with your electrical equipment before installing a CSP?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Electrical.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Electrical_Charged.jpg,"When checking electrical kit ensure the equipment is fully charged, in good working order and within its ESI test date.","It is not necessary to check electrical equipment.","Check to ensure all electrical equipment is charged and functioning correctly.","No electrical equipment is needed.",,1
"Copper Provisioning","Where are the copper connector cables routed?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Back_labeled.jpg,"A special knockout plate is built into the rear of the CSP Demarcation box, specially designed to feed cables conveniently from the 101A capping. The box also comes with a grommet specially designed to fit this knockout.","Through the incoming cable port at the bottom of the box.","Through the small 101A hole in the rear centre of the box.","The copper provisioning knockout at the rear of the box.","Through any available port.",2
"Copper Provisioning","In a UG installation, where will you often find the incoming copper cables?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Copper_Provisioning_Close.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/101A_Capping.jpg,"The incoming copper cable typically comes from the capping 25, under the 101A (or BT66) capping and is routed to copper termination within the premises.","Routed through the ECLI.","Loose on the side of the dwelling.","There is no copper provisioning on a UG install.","Under the 101A or BT66 capping.",3
"Copper Provisioning","Where do the copper cables come from in a UG installation?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Copper_Provisioning_Close.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Capping_25.jpg,"The incoming copper cable comes from the capping 25, under the 101A capping and is routed to copper termination within the premises.","Copper cable comes from the ECLI.","Copper cable comes from the capping 25.","Copper cable comes from the telephone pole.","There is no copper cable.",1
"Copper Provisioning","When routing the copper provisioning into the CSP, where should you ensure the black sheathing of the copper pair be aligned with.",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Copper_Provisioning_Close.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Copper_Channel_Labeled.jpg,"The black sheathing of the copper pair should be aligned with the cable channel at the back of the box; otherwise it will not be possible to mount the CSP flush with the wall.","Pushed into the wall of the customer's premises.","It's not important where the copper sheathing is stored.","The cable channel at the back of the CSP.",,2
"Copper Provisioning","When routing the copper provisioning into the CSP, how much of the black outer sheathing should go into the CSP?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Copper_Provisioning_Close.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Copper_Channel_Labeled.jpg,"When routing the copper provisioning into the CSP, ensure that the black sheathing is only fitted within the channel at the back of the box. And store ONLY the fanned out copper conductors inside the CSP.","5 cm.",None.,,,1
"Cable Installation 1","In the case of an OH fibre cable installation, where should the CSP be mounted on the customer's premises?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Telephone_Pole.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Converstaion.jpg,"Ideally with an OH installation, the CSP should be mounted as close as possible to the customer's ONT on the external walls of the customer's premises. This minimises wastage of the Inside/Out cable and ensures the best possible connection. Specific placement can be requested by the customer if agreed upon by the customer and engineer.","As close as possible to the ONT on the internal wall of the customer premises.","As high as possible on the external wall of the customer premises.","As close as possible to the ONT on the external wall of the customer premises.","As low to the ground as possible on the customer premises.",2
"Cable Installation 1","During an OH installation who should you speak in advance and agree on the location of the CSP?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Telephone_Pole.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Converstaion.jpg,"Before installing the CSP speak with the customer about the location of the installation taking into account distance from the customers ONT and aesthetics.","Your manager.","The customer.","Mount the CSP wherever you think is appropriate.",,1
"Cable Installation 1","Which type of installation requires a gas block connector?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Empty.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Gasblock.jpg,"Gas block connectors provide a simple gas seal between the microduct and the fibre cable, which is required for the OH blown fibre cable type. Other cables covered in this installation guide do not require a gas block connector.","UG Commscope Fibre Cable.","ROC Drop Cable.","OH Blown Fibre Cable.","OH Corning Fibre Cable.",2
"Cable Installation 1","During a UG installation, where is the CSP typically mounted on the customer's premises?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/101A_Capping.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Closed.jpg,"Typically during a UG installation the CSP should be mounted on top of the capping 25 in place of the 101A, or BT66, capping if present.","Anywhere on external walls of the household.","As close as possible to the customers ONT.","Anywhere on the internal walls of the household.","In place of the 101A or BT66 capping on top of the capping 25.",3
"Cable Installation 1","During a UG installation where are the incoming cables routed?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Closed.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,"During a UG installation the incoming cable is routed from an underground joint box, through the capping 25 and is stored under the 101A, or BT66, capping at the customer's premises.","The incoming cable is cleated to the wall coming from a telephone pole.","Through the capping 25 under the 101A or BT66 capping.","There is no incoming cable.",,1
"Cable Installation 1","When should the capping 25 be replaced during the installation?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Closed.jpg,"The capping 25 should be replaced before sealing the CSP at the lid closes over the capping.","After sealing the CSP.","Before sealing the CSP.","At any point during the installation.",,1
"Cable Installation 1","A UG installation is the installation of cables routed from",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/101A_Capping.jpg,"During a UG installation the incoming cable is routed from an underground joint box, through the capping 25 and is stored under the 101A, or BT66, capping to the customer's premises.","A telephone pole.","An underground joint box.",Both.,Neither.,1
"Cable Installation 2","Where should the incoming cable be inserted in the slack tray?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Slack_X.jpg,"The CSP Demarcation box has a custom slack reel design which is optimised to store the required slack for many different cable types. For the reel to operate correctly, you will need to feed the incoming cable slack through the bevelled ","Through the outer ring of slack management, counterclockwise.","Through the area underneath the 'X' on the top side of the slack tray.","Enter the slack tray at the closest point to the cable entry ports.","Through any available slot on the slack tray.",1
"Cable Installation 2","Which cable type requires you to flip the strain relief and screw in through the concave side?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Flipped_Strain_Relief.jpg,"The ROC drop cable requires additional strain relief support compared to other cable types shown in this installation guide. Fortunately, we designed the strain relief bracket to support many different cable types, and you simply need to invert the bracket so the rounded ridge on top bites into the ROC drop cable.","OH Blown Fibre Cable.","UG Commscope Fibre Cable.","OH Corning Fibre Cable.","ROC Drop Cable.",3
"Cable Installation 2","Where in the CSP is the incoming cable slack stored?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Empty.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,"The incoming cable should be stored in the inner slack storage tray.","In the outer slack management clips.","In the inner slack storage tray.","In either slack storage section.",,1
"Cable Installation 2","When populating a CSP with 4 fibres, which port does the first outgoing cable enter?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/4_Fibre_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Rear_Entry.jpg,"When installing a 4-fibre cable, always use the rear entry port. This simplifies the installation process and reduces the risk of damage to existing cable installs.","Through the copper provisioning port.","Through any port.","Through the rear entry port.","The right-most port.",2
"Cable Installation 2","What position should the first splice be stored in the splice cradle?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Splice_Cradle.jpg,"When first installing spliced cable into the splice cradle, always use the left-most holder because this will simplify the process for future installs.",Middle.,Right-most.,Anywhere.,Left-most.,3
"Cable Installation 2","What position should the second splice be stored in the splice cradle?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Second_Splice.jpg,"When installing a second spliced cable into the splice cradle, two splices should be stored in the single holder. This will simplify the process for future installs.","On top of the first splice in the middle position.","On top of the first splice in the left-most position.",Right-most.,Anywhere.,1
Splicing,"When should the splice protector be slid over the exposed fibre?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Cable_Ready_to_Strip.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Splice_Protector.jpg,You,"After splicing.","Before stripping the cable to bare fibre.","Before splicing so that it can be slid over the exposed connection.","At the most convenient time.",2
Splicing,"Where should the spliced cable be stored?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Splice_Cradle.jpg,"The CSP Demarcation box has a specially designed splice cradle on the left of the closure which can be used to store spliced cable. This cradle will give additional protection to the delicate splice point.","Replace the cable in the slack tray.","Use glue or tape to secure the spliced cable to the box.","The splice cradle on the left side of the box.","The spliced cable can be left loose in the box.",2
Splicing,"What is the recommended amount of cable to be uncoiled from CSP when splicing?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Splice_Cradle.jpg,"It is recommended to remove at least 1 metre of cable from the CSP when preparing for splicing. This prevents unnecessary strain and damage on the cable.","2.05 metre.","1 metre.","0.5 metres.",,1
Splicing,"If a splice fails, what process should be followed?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/VFL.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/CSP_Full.jpg,"If the splice fails, ensure the splice is clean and cut correctly, then attempt to splice the cable again by following the splicing process.","Attempt to resplice the fibre immediately.","Install a new Inside/Out Cable.","Cut the splice, clean the fibre and repeat the splicing process.",,2
"Fibre Hygiene","What should be used to clean the exposed fibre before splicing?",https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Q11_1.jpg,https://dexgiffy2020.s3-eu-west-1.amazonaws.com/csp_quiz_content_v1/Q11_2.jpg,"Use the approved cleaning method to prepare the exposed fibre for splicing. Using other methods can cause damage to the fibre.","Your bare hand.","Any piece of cloth","Approved cleaning method.","The fibre does not need to be cleaned.",2
"LO2: 2.1: Define the criteria for checking that plans are current","What is the purpose of a site investigation during the planning stage of a project?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To ensure plans are current","To ensure plans are authentic","To ensure plans are reliable","To ensure plans are readable",1
"LO2: 2.1: Define the criteria for checking that plans are current","What action should be taken at the planning stage of a project to ensure that plans are current?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Carry out a site investigation","Refer to satellite images","Dig trial holes","Provide operatives with training",1
"LO2: 2.1: Define the criteria for checking that plans are current","What must the asset owner do when information is requested about buried services in a proposed work area by an enquirer?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Refer enquirers to the relevant webpage where plans can be downloaded","Provide enquirers with up to date information for the proposed work area with 30 days","Provide enquirers with up to date, readable plans for the proposed work area","Refer enquirers to a specialist who will survey the area for a reasonable charge",3
"LO2: 2.1: Define the criteria for checking that plans are current","Who is responsible for providing enquirers with up to date, readable plans of all known services buried in the proposed work area?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"The CDM coordinator","The principle contractor","The asset owner","The local authority",3
"LO2: 2.1: Define the criteria for checking that plans are current","Why must the date of issue be checked when receiving plans?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To ensure plans are authentic","To ensure plans are current","To ensure plans are reliable","To ensure plans are readable",2
"LO2: 2.1: Define the criteria for checking that plans are current","What information should be checked to ensure plans are current?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Scale,"Date of issue","Grid reference","Printed in colour",2
"LO2: 2.4: Define the importance of marking the site clearly prior to excavation","Why must the location of services be marked clearly prior to excavation?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To reduce the risk of damage to the service","To prove that a survey has taken place","To plan the location of new services","To prevent the need of costly trial holes",1
"LO2: 2.4: Define the importance of marking the site clearly prior to excavation","What action should be taken to reduce the risk of damage to underground services following a successful site survey using a detection devices on a grass verge?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Use steel pins to mark the location of services","Start excavation activities immediately","Update plans and drawings to ensure they remain current","Mark the location of services using wooden pegs",4
"LO2: 2.4: Define the importance of marking the site clearly prior to excavation","What action should be taken to reduce the risk of damage to underground services following a successful survey of the site using a detection devices?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Start excavation activities immediately","Take pictures of the location","Mark the position of the service","Update plans and drawings",3
"LO2: 2.4: Define the importance of marking the site clearly prior to excavation","What is the purpose of marking the location of services following a successful survey of the site using a detection device?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To avoid digging trial holes to identify services","To verify the depth of the service","To reduce the risk of damage to the service","To update service plans and other documentation",3
"LO2: 2.4: Define the importance of marking the site clearly prior to excavation","What is the most likely consequence to members of the public following damage to an underground service that has not been marked?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"Severe or fatal injuries","Additional costs due to time consuming repairs","Required to pay fines and penalties","Inconvenience caused by disruption to service",4
"LO2: 2.4: Define the importance of marking the site clearly prior to excavation","Why must services be traced and marked throughout the full extent of the site?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,"To note the line of services as they change direction","To identify the most appropriate location to excavate","To determine if the worksite is congested","To determine if services are shallow",1
"LO4: 4.2: Identify the distinguishing characteristics of underground utilities apparatus and highway","What is the colour of a low pressure polyethylene (PE) gas service?",https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,https://d2ywuokkaz628s.cloudfront.net/training_course/175/submodules/n7LTH4VSyg3C7ulefTQGlIfGcruLM8V2mcANXcNR.jpg,n/a,Blue,Green,Yellow,Orange,3
